architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A5,17,training_set_primary_roi_052:130,plasma_cell,both_wrong,0,0.9310924369747899,0.8710691823899371,0.13261648745519714,2.310744047164917,319
A5,17,training_set_primary_roi_052:557,apoptosis,both_wrong,0,0.9429657794676806,0.8920863309352518,0.104,1.672929048538208,320
A5,17,training_set_primary_roi_052:633,neutrophil,both_correct,0,0.672645739910314,0.5067567567567568,0.48299319727891155,2.191582441329956,321
A5,17,training_set_primary_roi_054:291,histiocyte,A1_correct_candidate_wrong,-1,0.896,0.8115942028985508,0.13432835820895522,5.538956642150879,325
A5,17,training_set_primary_roi_054:324,lymphocyte,both_correct,0,0.9662921348314607,0.9347826086956522,0.0,3.237959146499634,326
A5,17,training_set_primary_roi_055:502,histiocyte,both_wrong,0,0.93359375,0.8754578754578755,0.007782101167315175,1.285562515258789,327
A5,17,training_set_primary_roi_057:198,stroma,both_wrong,0,0.9366754617414248,0.8808933002481389,0.061381074168797956,0.6980024576187134,332
A5,17,training_set_primary_roi_057:203,neutrophil,both_correct,0,0.8759342301943199,0.7792553191489362,0.22074468085106383,0.9720734357833862,333
A5,17,training_set_primary_roi_057:233,lymphocyte,both_correct,0,0.956140350877193,0.9159663865546218,0.011764705882352941,3.771937847137451,334
A5,17,training_set_primary_roi_057:440,lymphocyte,both_correct,0,0.9497716894977168,0.9043478260869565,0.00909090909090909,1.7432985305786133,335
A5,17,training_set_primary_roi_057:659,histiocyte,both_correct,0,0.8846761453396524,0.7932011331444759,0.11044776119402985,1.834702968597412,336
A5,17,training_set_primary_roi_057:679,apoptosis,both_wrong,0,0.8428571428571429,0.7283950617283951,0.19742489270386265,2.438643455505371,337
A5,17,training_set_primary_roi_058:45,epithelium,both_wrong,0,0.9349736379613357,0.8778877887788779,0.12211221122112212,2.05530047416687,338
A5,17,training_set_primary_roi_058:346,stroma,both_wrong,0,0.9744318181818182,0.9501385041551247,0.017191977077363897,2.1632132530212402,339
A5,17,training_set_primary_roi_059:444,lymphocyte,both_wrong,0,0.9662921348314607,0.9347826086956522,0.06976744186046512,4.643519401550293,340
A5,17,training_set_primary_roi_059:463,plasma_cell,both_wrong,0,0.6200750469043153,0.4493541808293678,0.5506458191706323,1.7702302932739258,341
A5,17,training_set_primary_roi_059:469,neutrophil,both_correct,0,0.9063291139240506,0.8287037037037037,0.13679245283018868,4.6503448486328125,342
A5,17,training_set_primary_roi_060:80,tumor,both_wrong,0,0.9628055260361318,0.9282786885245902,0.014767932489451477,2.8468499183654785,343
A5,17,training_set_primary_roi_060:132,histiocyte,both_wrong,0,0.9622641509433962,0.9272727272727272,0.07334963325183375,1.6497199535369873,344
A5,17,training_set_primary_roi_060:314,neutrophil,both_wrong,0,0.8127090301003345,0.6845070422535211,0.3154929577464789,0.6078674793243408,345
A5,17,training_set_primary_roi_061:322,epithelium,both_correct,0,0.9521367521367521,0.9086460032626428,0.09135399673735727,1.9473034143447876,346
A5,17,training_set_primary_roi_062:304,histiocyte,both_wrong,0,0.9667673716012085,0.935672514619883,0.052941176470588235,1.6181539297103882,347
A5,17,training_set_primary_roi_063:236,histiocyte,both_wrong,0,0.9746444032158318,0.9505428226779252,0.04945717732207479,1.253111720085144,348
A5,17,training_set_primary_roi_063:508,tumor,both_wrong,0,0.9705882352941176,0.9428571428571428,0.04,2.652968168258667,349
A5,17,training_set_primary_roi_064:468,melanophage,both_correct,0,0.9651162790697675,0.9325842696629213,0.01675041876046901,0.9381706714630127,350
A5,17,training_set_primary_roi_065:57,stroma,both_wrong,0,0.9066305818673883,0.8292079207920792,0.19287833827893175,0.424756795167923,351
A5,17,training_set_primary_roi_067:73,epithelium,both_correct,0,0.9078014184397163,0.8311688311688312,0.16883116883116883,3.4558265209198,352
A5,17,training_set_primary_roi_068:32,neutrophil,both_wrong,0,0.6814671814671814,0.5168374816983895,0.9348441926345609,1.0157785415649414,353
A5,17,training_set_primary_roi_068:247,plasma_cell,both_wrong,0,0.8953068592057761,0.8104575163398693,0.1895424836601307,1.3621383905410767,354
A5,17,training_set_primary_roi_068:326,histiocyte,both_wrong,0,0.27309236947791166,0.15813953488372093,3.134020618556701,1.6775939464569092,355
A5,17,training_set_primary_roi_068:389,melanophage,both_wrong,0,0.9559748427672956,0.9156626506024096,0.06882591093117409,0.9906027317047119,356
A5,17,training_set_primary_roi_068:439,tumor,both_wrong,0,0.904639175257732,0.8258823529411765,0.1346153846153846,1.2300069332122803,357
A5,17,training_set_primary_roi_068:498,apoptosis,both_wrong,0,0.7453416149068323,0.594059405940594,0.40594059405940597,1.087731122970581,358
A5,17,training_set_primary_roi_069:7,lymphocyte,both_correct,0,0.9739413680781759,0.9492063492063492,0.050793650793650794,2.377098321914673,359
A5,17,training_set_primary_roi_073:247,epithelium,both_correct,0,0.8188405797101449,0.6932515337423313,0.4424778761061947,2.7364799976348877,369
A5,17,training_set_primary_roi_073:263,melanophage,both_correct,0,0.8571428571428571,0.75,0.23404255319148937,1.4917809963226318,370
A5,17,training_set_primary_roi_074:68,epithelium,both_correct,0,0.9376114081996435,0.8825503355704698,0.10902255639097744,2.6827123165130615,371
A5,17,training_set_primary_roi_074:476,lymphocyte,both_wrong,0,0.0,0.0,1.7027027027027026,4.775092124938965,372
A5,17,training_set_primary_roi_075:233,tumor,both_wrong,0,0.9723032069970845,0.9460992907801419,0.05697151424287856,3.642068862915039,373
A5,17,training_set_primary_roi_076:394,lymphocyte,both_wrong,0,0.6666666666666666,0.5,1.0,3.748412847518921,374
A5,17,training_set_primary_roi_076:419,endothelium,both_correct,0,0.7530224525043178,0.6038781163434903,0.35511363636363635,2.0708227157592773,375
A5,17,training_set_primary_roi_079:78,melanophage,both_correct,0,0.9550475211918829,0.9139626352015733,0.047869542346133616,2.3420886993408203,376
A5,17,training_set_primary_roi_079:392,epithelium,both_wrong,0,0.9713261648745519,0.9442508710801394,0.03866432337434095,1.7211145162582397,377
A5,17,training_set_primary_roi_079:479,stroma,both_wrong,0,0.4777777777777778,0.31386861313868614,0.6600496277915633,0.36608660221099854,378
